object_name,package_name,url_browser,description,id_package,id_dataset,url_download
whse_fish.wdic_waterbody_poly_svw,wsa-water-polygon-features-50-000,https://catalogue.data.gov.bc.ca/dataset/414be2d6-f4d9-4f32-b960-caa074c6d36b,"One of the spatial views of the BC WATERSHED ATLAS 50K, which is the digital basemap representation of the aquatic  Man-made waterbodies, Wetlands and Double-line Rivers based on the 1:50,000 scale Canadian National Topographic Series of Maps.",414be2d6-f4d9-4f32-b960-caa074c6d36b,8b043c22-8e42-4953-a2aa-778f19038c11,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.WDIC_WATERBODY_POLY_SVW/ows?service=WMS&request=GetCapabilities
whse_wildlife_inventory.spi_survey_obs_nonsens_sp,wildlife-species-inventory-survey-observations-publicly-available,https://catalogue.data.gov.bc.ca/dataset/8f45a611-ce07-4e9f-a4b5-27e123972816,"A wildlife observation is an encounter with the focal species (taxa) or its sign. An observation is made when a surveyor makes a visit to a Design Component on a specific date at a specific time. Each observation may be geo-referenced in itself or simply by association with a specific Design Component. Observations are recorded on the Animal Observation forms, and may include information on species, sex, age class, activity, and/or measurements, depending on whether the animal is in-hand or roaming free",8f45a611-ce07-4e9f-a4b5-27e123972816,59339b11-9d21-4bc5-9843-85e89eb3f708,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_INVENTORY.SPI_SURVEY_OBS_NONSENS_SP/ows?service=WMS&request=GetCapabilities
whse_wildlife_inventory.spi_whf_survey_obs_ns_sv,wildlife-habitat-features-wsi-surveys-publicly-available,https://catalogue.data.gov.bc.ca/dataset/884c20fa-17c1-491a-b5cb-993be5dff8d3,"A “wildlife habitat feature” is defined as a feature used by one or more wildlife species to meet their life history requirements. A wildlife survey observation is an encounter with the focal species (taxa) or its sign. An observation is made when a surveyor makes a visit to a Design Component on a specific date at a specific time as part of a formalized survey.

This dataset is a subset of ‘Wildlife Species Inventory Survey Observations - Non-sensitive’ https://catalogue.data.gov.bc.ca/dataset/8f45a611-ce07-4e9f-a4b5-27e123972816, specific to publicly available Wildlife Habitat Features that may be applicable to the Kootenay Boundary Wildlife Habitat Features Order. 

For a comprehensive view of wildlife habitat features that may be applicable to the Kootenay Boundary Region Order this dataset should be viewed in conjunction with ‘Wildlife Habitat Features – FRPA – Kootenay Boundary Region – Publicly Available’ https://catalogue.data.gov.bc.ca/dataset/9188aeff-47b0-4932-a53a-f3e70096b781, ‘Wildlife Habitat Features – FRPA – Masked Publicly Available’ https://catalogue.data.gov.bc.ca/dataset/11911766-cb1f-4efe-b015-97ecb8dcc1d0 ,and ‘Wildlife Habitat Features - WSI Incidentals’ https://catalogue.data.gov.bc.ca/dataset/50dc6ba5-8883-4bfc-b3aa-b420b190b45b.

For more information on the Kootenay Boundary Wildlife Habitat Features Order see here: https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/laws-policies-standards-guidance/legislation-regulation/forest-range-practices-act/government-actions-regulation/wildlife-habitat-features/kootenay-boundary-wildlife-habitat-features-order",884c20fa-17c1-491a-b5cb-993be5dff8d3,4c6e3597-c144-4f48-b93f-f824a0dafd46,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_INVENTORY.SPI_WHF_SURVEY_OBS_NS_SV/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_map_notatn_poly_svw,forest-tenure-map-notation-polygon,https://catalogue.data.gov.bc.ca/dataset/78838b54-f241-4269-aeb4-126d14bb5f37,This is a spatial layer showing Ministry of Forests Map Notation Polygons.  These are polygonal spatial representation for a notation on the Forest Atlas which records the area of interest of other government agencies and individuals,78838b54-f241-4269-aeb4-126d14bb5f37,d073348f-6d02-41ba-b3ac-a97511d49a14,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_MAP_NOTATN_POLY_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_rec_trails_svw,recreation-trails-subset-information-purposes-only,https://catalogue.data.gov.bc.ca/dataset/be56e192-c0a1-4268-9a75-500b0b13ff2d,"This data set contains a small sub-set of trails, with minimal attribution for the purpose of displaying a select set of high value recreation trails. 

For access to complete listing of Recreation Trails and lines please use:
[Recreation Polygons WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW](http://catalogue.data.gov.bc.ca/dataset/263338a7-93ee-49c1-83e8-13f0bde70833) or 

[Recreation Lines WHSE_FOREST_TENURE.FTEN_RECREATION_LINES_SVW](http://catalogue.data.gov.bc.ca/dataset/7fcb21f7-e51c-4342-a5e1-445a6c42128e)",be56e192-c0a1-4268-9a75-500b0b13ff2d,a7c306b1-b1b1-48d3-84a8-dfa0d10886ca,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_REC_TRAILS_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_rec_trail_heads_svw,recreation-trail-heads-subset-information-purposes-only,https://catalogue.data.gov.bc.ca/dataset/8b812641-15b0-4a56-88d4-17344e90b294,"This data set contains a small sub-set of trail heads, with minimal attribution for the purpose of displaying a select set of high value recreation trails. 

For access to complete listing of Recreation sites and lines please use:

[Recreation Polygons WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW](http://catalogue.data.gov.bc.ca/dataset/263338a7-93ee-49c1-83e8-13f0bde70833) or 

[Recreation Lines WHSE_FOREST_TENURE.FTEN_RECREATION_LINES_SVW](http://catalogue.data.gov.bc.ca/dataset/7fcb21f7-e51c-4342-a5e1-445a6c42128e)",8b812641-15b0-4a56-88d4-17344e90b294,69da7468-c2ce-4a6d-a801-b33adc3fbf85,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_REC_TRAIL_HEADS_SVW/ows?service=WMS&request=GetCapabilities
whse_mineral_tenure.png_tenure_areas_sp,oil-and-gas-tenure-areas,https://catalogue.data.gov.bc.ca/dataset/d7b059df-f978-4687-842c-01c4afe2033d,Tenure Areas are geographic administrative areas named for local features and used to group petroleum and natural gas Land Plats situated within the same local geographic area.,d7b059df-f978-4687-842c-01c4afe2033d,ac79255e-c3f6-485c-8279-d42493e7ad12,https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.PNG_TENURE_AREAS_SP/ows?service=WMS&request=GetCapabilities
whse_fish.fiss_lake_surveys_svw,lake-inventory-surveys,https://catalogue.data.gov.bc.ca/dataset/a8b81f67-57b2-45f3-9a88-f9953d64f1a1,"This spatial layer displays lakes that have had full or partial surveys, and contains information regarding the dates of those surveys and an indication of the data collected on each survey date",a8b81f67-57b2-45f3-9a88-f9953d64f1a1,e2f8115f-cdaf-46e2-81bf-7a143bac2ab2,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.FISS_LAKE_SURVEYS_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.bath_survey_map_sheets_svw,bathymetric-maps,https://catalogue.data.gov.bc.ca/dataset/839b7fc1-746e-44b5-9327-3d76e798429d,"The Bathymetric Maps layer is a spatial layer that enables users to visually determine which lakes have existing bathymetric maps. These lakes are ones which have had a (typically hand-drafted) hardcopy bathymetric map created for them. These maps have then been scanned and are presented in this layer as PDF files which are linked to the FWA polygon for the corresponding lake.  URLs in the attribute table allow the user to link to these source bathymetric maps through their Internet Browser.

This layer is different from the Bathymetric Maps of Surveyed Lakes layer [WHSE_FISH.BATH_LAKE_BATHYMETRIC_SP](https://catalogue.data.gov.bc.ca/dataset/bathymetric-maps-of-surveyed-lakes ) in that each lake in the Bathymetric Maps of Surveyed Lakes layer has been digitized and georeferenced and has intelligent contour polygons created for it.",839b7fc1-746e-44b5-9327-3d76e798429d,0d0bc6ca-4bb2-408b-8246-33beb85f5471,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.BATH_SURVEY_MAP_SHEETS_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.rslt_planting_svw,results-planting,https://catalogue.data.gov.bc.ca/dataset/3666c26a-32d8-43e4-b8ad-59a315c7d3ce,"Planting activities reported on openings into RESULTS.  More than one planting activitiy may occur within an opening.  Planting activiites may also overlap.  Planting attribute reporting is mandatory requirement while planting maps are optional. Planting reports includes species and seedlot information. This is a part of Silviculture and Land Status dataset, which includes tracking achievement of silviculture obligations on Crown land",3666c26a-32d8-43e4-b8ad-59a315c7d3ce,f175bf53-516c-4c82-8380-10a606535614,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.RSLT_PLANTING_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_vegetation.rslt_opening_svw,results-openings-svw,https://catalogue.data.gov.bc.ca/dataset/53a17fec-e9ad-4ac0-95e6-f5106a97e677,"RESULTS Openings are administrative boundaries for areas harvested with silviculture obligations or natural disturbances with intended forest management activities on Crown Land.  

The RESULTS openings_svw is a spatial view made up of a number of tables containing information on disturbance dates, generalized bec, forest district, opening category, opening status, previous tree species, opening gross area, average slope, average elevation, aspect, along with maximum and minimum elevation values, and many more fields.",53a17fec-e9ad-4ac0-95e6-f5106a97e677,9ff1754a-5f4b-4d41-9e7f-69870393b336,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_VEGETATION.RSLT_OPENING_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_tenures_svw,tantalis-crown-tenures,https://catalogue.data.gov.bc.ca/dataset/3544ad91-0cf2-4926-a08a-bfe42d9a031d,"Current Land Act tenures and applications for such tenures: a subset of crown land dispositions that are issued for specific purposes and periods of time under an agreement between an individual or company and the provincial government for an interest in crown land. Conveyances of ownership are not included. For example Leases, Licenses and Reserves are included, but Crown Grants and Acquisitions are not. Historical records (e.g. expired, replaced, or completed) are not included in this view.",3544ad91-0cf2-4926-a08a-bfe42d9a031d,0d56fdbb-50e2-4357-99c3-aaa81c78a7dc,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_TENURES_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_permits_svw,tantalis-crown-land-permits,https://catalogue.data.gov.bc.ca/dataset/330407e1-dd4c-4780-96d7-3333472e5db8,"TA_CROWN_PERMITS_SVW contains the spatial representation (polygon) of active and applied for Land Act Permits. Land Act Permits grant the right to carry out specific activity(s) for a short term, but do not allow for the construction of permanent improvements on the land. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only",330407e1-dd4c-4780-96d7-3333472e5db8,5196dff6-fd6f-43c1-b34a-076c8ae53a11,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_PERMITS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_inventory_svw,tantalis-crown-land-inventory,https://catalogue.data.gov.bc.ca/dataset/36372345-1084-4727-9513-14c7be887c68,TA_CROWN_INVENTORY_SVW contains the spatial representation (polygon) of active and applied for Crown Land Inventory Dispositions. Inventories are lands identified for review to determine the availability to market. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only,36372345-1084-4727-9513-14c7be887c68,5b2b4402-dcd0-4e0c-9539-51d11b07cab7,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_INVENTORY_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_rsrv_notations_svw,tantalis-crown-land-reserves-and-notations,https://catalogue.data.gov.bc.ca/dataset/589cb979-731f-4151-bb2b-10ed66278099,"TA_CROWN_RSRV_NOTATIONS_SVW contains the spatial representation (polygon) of active and applied for Reserves and Notations. Reserves are a particular type of crown land tenure that grants an agency the right to implement a restriction on the use of crown land. Federal and Provincial government agencies and corporations may apply for the establishment of Land Act Reserves over high value sites required for public purposes, including research and education. Depending on the type of reserve (Order in Council, Map Reserve, Land Act Designation (which can be designated use or prohibitive use) and Notation of Interest) the area is withdrawn from disposition under the Land Act. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only",589cb979-731f-4151-bb2b-10ed66278099,4eb88c0a-a6b9-4576-a99c-174a6b24d71d,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_RSRV_NOTATIONS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_surveyed_row_parcels_svw,tantalis-surveyed-right-of-way-parcels,https://catalogue.data.gov.bc.ca/dataset/998f8233-0330-43f2-8488-870fc8c13aa3,"TA_SURVEYED_ROW_PARCELS_SVW contains the spatial representation (polygon) of all parcels of land surveyed for statutory access or Right-of-Way purposes, with active surveys, that are or have been within the purview of the B.C. Crown Land Management program. The view was created to provide a simplified view of this data from the survey parcel information in the Tantalis operational system",998f8233-0330-43f2-8488-870fc8c13aa3,1f467e79-5a20-481b-9c15-b5ef39050b53,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_SURVEYED_ROW_PARCELS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_survey_parcels_svw,tantalis-surveyed-parcels,https://catalogue.data.gov.bc.ca/dataset/61d0864e-d795-4d20-8aa0-718f9fd6fb5f,TA_SURVEY_PARCELS_SVW Contains the spatial representation (polygon) of all active primary and subdivision parcels of land that are or have been within the purview of the B.C. Crown Land Management program. The view was created to provide a simplified view of this data from the survey parcel information in the Tantalis operational system. Primary and subdivision parcels are the two types of parcels (as identified by the PARCEL_TYPE attribute) that are generally suitable for transfer of ownership,61d0864e-d795-4d20-8aa0-718f9fd6fb5f,de03f995-b7d2-4778-b259-1f5b7886dea1,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_SURVEY_PARCELS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_rev_share_agrmnts_svw,tantalis-crown-land-revenue-sharing-agreements,https://catalogue.data.gov.bc.ca/dataset/b7ed05dd-bd07-40cd-916e-602595b11a25,"TA_CROWN_REV_SHARE_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Revenue Sharing Agreements. A Revenue Sharing Agreement is made between the crown and one or more parties to share revenue. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only.

It’s possible that this dataset may contain few or no records, depending on the current number of active tenures or applications.",b7ed05dd-bd07-40cd-916e-602595b11a25,e4aec37c-fa53-4f0e-a5ce-e82dd4248926,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_REV_SHARE_AGRMNTS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_rights_of_way_svw,tantalis-crown-land-rights-of-way,https://catalogue.data.gov.bc.ca/dataset/6261a992-dde6-450b-b99e-20071ed50d79,"TA_CROWN_RIGHTS_OF_WAY_SVW contains the spatial representation (polygon) of active and applied for Statutory Rights-of-way. Statutory rights-of-way are registerable in a Land Titles office, and are normally issued to authorize linear uses of Crown Land for transportation, communication, energy production and utility developments. They grant tenure holders right of passage for specific purposes and certainty respecting access to the land and use of improvements. They do not convey non-exclusive use - exclusivity may be granted for safety reasons. A legal survey is required to define the tenured area. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only",6261a992-dde6-450b-b99e-20071ed50d79,5c6cba20-2e83-40c7-acf8-1cc65a3bbb56,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_RIGHTS_OF_WAY_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_dvlopmnt_agrmnts_svw,tantalis-crown-land-development-agreements,https://catalogue.data.gov.bc.ca/dataset/75b89714-615f-4623-985f-e2155346db72,TA_CROWN_DVLOPMNT_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Land Act Development Agreements. Development Agreements allow for use of Crown Land for development with conditions for future purchase of base lands or tenure of property. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only,75b89714-615f-4623-985f-e2155346db72,c0552f77-11c1-41d5-8ff0-d60caea66ab4,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_DVLOPMNT_AGRMNTS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_leases_svw,tantalis-crown-land-leases,https://catalogue.data.gov.bc.ca/dataset/9d4acb8e-535f-4845-8876-ec79bee1844f,"TA_CROWN_LEASES_SVW - A Crown Land Lease is a type of land tenure issued under the Land Act. A Land Act Lease is issued where long term tenure is required, where substantial improvements are proposed, and/or where definite boundaries are required in order to avoid land use and property conflicts. The tenure holder is granted the exclusive use and enjoyment of the area. The tenure holder also has the right to exclude or charge the public for use of the land and/or improvements, when this is consistent with the terms of the lease. Crown Leases require a (cadastral) survey prior to issuance",9d4acb8e-535f-4845-8876-ec79bee1844f,a7ecfb44-a964-454b-b70b-fd8409416e47,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_LEASES_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_inclusions_svw,tantalis-crown-land-inclusions,https://catalogue.data.gov.bc.ca/dataset/55b68352-5117-4d00-b815-1772f5a73f3d,TA_CROWN_INCLUSIONS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Inclusions. Inclusions are a mechanism by which an interest holder can extend for inclusion their holdings based on statutory provisions within the Land and Land Title Acts. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only,55b68352-5117-4d00-b815-1772f5a73f3d,4ba0609f-0216-40bd-b75b-231cb3d9d091,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_INCLUSIONS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_operating_agrmnts_svw,tantalis-crown-land-operating-agreements,https://catalogue.data.gov.bc.ca/dataset/522f0cc0-d58e-4559-8866-1912d0b3699c,TA_CROWN_OPERATING_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Operating Agreements. Operating agreements provide for use of Crown Land for operation/development but do not provide for future purchasing of land. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only,522f0cc0-d58e-4559-8866-1912d0b3699c,f027fca9-059d-4617-a169-8b977889b01b,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_OPERATING_AGRMNTS_SVW/ows?service=WMS&request=GetCapabilities
whse_tantalis.ta_crown_licenses_svw,tantalis-crown-land-licenses,https://catalogue.data.gov.bc.ca/dataset/cdd3570e-3658-4fbc-9fc1-02a32d5494f7,"TA_CROWN_LICENSES_SVW contains the spatial representation (polygon) of active and applied for Land Act Licences. Land Act Licences (chapter 245) is not registerable, does not require a survey, possesses fewer rights than a lease and conveys non-exclusive use. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only",cdd3570e-3658-4fbc-9fc1-02a32d5494f7,63bb40ba-8940-4cd7-908e-db1e031daa51,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TA_CROWN_LICENSES_SVW/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_cut_block_poly_svw,forest-tenure-cutblock-polygons-fta-4-0,https://catalogue.data.gov.bc.ca/dataset/dfb8b498-fa4b-4286-b3ec-58db88aca1cf,"This is a spatial layer that reflects operational activities for cutblocks contained within harvesting authorities.    The Forest Tenures Section (FTS) is responsible for the creation and maintenance of digital Forest Atlas files for the province of British Columbia encompassing Forest and Range Act Tenures.  It also supports the forest resources programs delivered by MoFR. Each feature contains a Ministry of Forests and Range (MoFR) FEATURE_CLASS_SKEY (number) column that further defines the type of that feature.  The layer contains cutblock boundaries for the following feature classes: Forest Licence Cut Block (555), Licence to Cut Cut Block (616), Timber Licence Cut Block (810), Timber Sale Licence Major Cut Block (817), Timber Sale Licence Minor CB Non Replaceable (820), Tree Farm Licence Cut Block (833), Wood Lot Licence Cut Block (863), Community Forest Cut Block (2402), and Timber Sale Licence Minor CB Replaceable (2417).  Each cut block has a life cycle status that is either PENDING - the cut block has been submitted as a new cut block or an amendment, but is not yet approved or rejected, ACTIVE - the cut block is approved and activities may be taking place on the cut block, or RETIRED - all activities, with respect to the harvesting authority, have been completed for the cut block",dfb8b498-fa4b-4286-b3ec-58db88aca1cf,25e69d05-f12f-4557-b88d-a657aee3b3b6,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_CUT_BLOCK_POLY_SVW/ows?service=WMS&request=GetCapabilities
