reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Fern Creek,125261_us_ef2,0,0,11,6.4,4.7,5.6,,,,,5.566666666666667,metre tape,2.3,1.9,2.9,,,,,2.3666666666666667,metre tape,0.6,,,,,,,0.6,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,moderate,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,abundant,dominant,sub-dominant,none,trace,trace,sub-dominant,none,1-20%,few,clumped,none,sloping,cobbles,fines,mixed forest,mature forest,V-shaped,cobbles,gravels,mixed forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Decoupled,unconfined,,,,,,,,,Abundant woody debris. One deep pool with multiple fish caught in it. High value habitat.  15:23:07
12,Fern Creek,125261_us_ef3,0,0,12,5.2,5.4,6.2,,,,,5.6000000000000005,metre tape,3.7,4,5.3,,,,,4.333333333333333,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,trace,trace,sub-dominant,none,trace,none,sub-dominant,none,1-20%,few,clumped,none,sloping,gravels,cobbles,mixed forest,mature forest,sloping,fines,gravels,shrubs,shrub,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,unconfined,,,,,,,,,Not a lot of riparian vegetation cover. Good flow with abundant gravels. 15:42:29
13,Tributary to McLeod Lake,198666_us3,0,0,13,3.9,3.8,3.4,3.4,,,,3.625,metre tape,3.4,3.6,3,3.1,,,,3.275,metre tape,0.4,,,,,,,0.4,metre stick,0.6,0.5,,,0.55,metre stick,1,2,,,0.015,clinometer,moderate,,1.4,recording meter,379,recording meter,8.099999999999998,pH meter (general),Turbid,moderate,sub-dominant,dominant,none,trace,sub-dominant,sub-dominant,none,21-40%,abundant,clumped,,undercut,fines,,mixed forest,mature forest,sloping,fines,,deciduous forest,mature forest,fines,gravels,,,riffle-pool,sinuous,Decoupled,,beaver dam,1,15,,,,,,"Huge beaver wetland complex just upstream of crossing. Stream channel found ~100m upstream. Abundant LWD and overhanging vegetation over stream. Numerous beaver dams found, spanning channel. Water is very turbid in wetland. Good flowing stream after wetland. Dams could present barrier to fish. Overall moderate habitat value. 13:25:08"
14,Tributary to McLeod Lake,198666_us2,0,0,14,3.6,2.8,3.6,2.8,,,,3.2,metre tape,2.5,2.4,2.5,2.3,,,,2.425,metre tape,0.6,0.8,,,,,,0.7,metre stick,0.4,,,,0.4,metre stick,4,,,,0.04,clinometer,moderate,,1.4,recording meter,379,recording meter,8.099999999999998,pH meter (general),Turbid,,sub-dominant,dominant,none,none,sub-dominant,sub-dominant,none,,abundant,clumped,,sloping,fines,,deciduous forest,mature forest,sloping,fines,,deciduous forest,mature forest,fines,gravels,,,riffle-pool,sinuous,,,beaver dam,0.9,5.3,,,,,,"A lot of beaver activity. Numerous dams, creating deep pools. Stream substrate is mostly mud, creating high turbidity. Abundant large woody debris in channel affecting flow. Wide channel with moderate flow. Thick, mature riparian vegetation creating cover. Overall moderate habitat value. 14:10:28"
15,42 Mile Creek,198687_us,0,0,15,2,4.5,3.6,2.9,2.8,2.8,,3.1,metre tape,0.9,1.5,2.1,1.9,2.3,1.6,,1.7166666666666666,metre tape,0.3,0.4,,,,,,0.35,metre stick,0.4,0.5,,,0.45,metre stick,1.5,3,4,2.5,0.0275,clinometer,moderate,,7.4,recording meter,411,recording meter,6.75,pH meter (general),clear,moderate,trace,dominant,trace,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,none,sloping,cobbles,gravels,deciduous forest,mature forest,V-shaped,cobbles,gravels,deciduous forest,pole-sapling,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,occasionally confined,dewatering,,50,,,,,,Medium habitat value. Few patches of gravel suitable for rainbow spawning. Very little deep pools suitable for overwintering. Moderate flow with some undercut banks and functional large woody debris. No cascades or steep drops that could be barriers. Small fry spotted near culvert and ~450m upstream. Stream dewaters 550m upstream of culvert. Sporadic areas with water afterwards. Healthy deciduous riparian vegetation.  09:23:38
16,42 Mile Creek,198687_ds,0,0,16,2.8,2.4,3.5,2.7,,,,2.85,metre tape,1.5,1.7,1.7,1.4,,,,1.5750000000000002,metre tape,0.5,0.6,,,,,,0.55,metre stick,0.4,,,,0.4,metre stick,2,2.5,,,0.0225,clinometer,moderate,,7.4,recording meter,411,recording meter,6.75,pH meter (general),clear,abundant,trace,sub-dominant,none,trace,trace,dominant,none,21-40%,few,clumped,none,sloping,gravels,cobbles,mixed forest,mature forest,sloping,gravels,fines,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,Medium habitat value. Channel becomes significantly smaller 200m downstream and dewaters. Signs of beaver activity. Abundant overhanging vegetation providing suitable cover. Some patches of gravel present suitable for rainbow spawners. A few deep pools.  10:50:07
17,Tributary to Altezega Creek,198694_us,0,0,17,2.7,3.5,2.8,2.6,2.7,2.1,,2.7333333333333334,metre tape,1.4,2.4,2.5,1.8,1.7,1.4,,1.8666666666666665,metre tape,0.3,0.4,0.4,0.4,,,,0.375,metre stick,0.4,0.3,,,0.35,metre stick,2,3.5,3.5,2,0.0275,clinometer,moderate,,10.2,recording meter,391,recording meter,8.199999999999998,pH meter (general),Lightly Turbid,abundant,sub-dominant,dominant,none,trace,trace,sub-dominant,trace,1-20%,abundant,evenly distributed,algae,V-shaped,cobbles,gravels,mixed forest,mature forest,sloping,gravels,fines,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular meanders,Decoupled,occasionally confined,LWD Jam,1,2.5,,,,,,"Small fish spotted periodically throughout survey. A lot of blowndown first 250m, creating cover across channel and adding complexity to stream habitat. Some deep pools suitable for overwintering. A couple areas with patches of gravel for spawning. No major barriers present. Low gradient stream with riffle pool morphology, no steps or cascades. Overall, habitat rated high value.  09:47:34"
18,Tributary to Altezega Creek,198723_us,0,0,18,2.5,2.2,2.4,,,,,2.3666666666666667,metre tape,1.2,1.6,1.7,,,,,1.5,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,1,,,0.01,clinometer,moderate,,10.2,recording meter,391,recording meter,8.199999999999998,pH meter (general),clear,moderate,dominant,sub-dominant,none,trace,none,sub-dominant,none,21-40%,few,clumped,none,sloping,fines,gravels,shrubs,shrub,V-shaped,fines,gravels,mixed forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,"High habitat value. Smaller channel than upstream, fish spotted near outlet pool. Connects to mainstem of Altezega Creek ~300m downstream. Abundant patches of gravel suitable for spawning.  11:44:02"
19,Tributary to McLeod Lake,198666_us,0,0,19,4.2,2.6,2.9,3.8,,,,3.375,metre tape,1.9,2.2,2.1,3.8,,,,2.5,metre tape,,,,,,,,,metre stick,0.8,,,,0.8,metre stick,1.5,,,,0.015,clinometer,low,,12.7,recording meter,410,recording meter,7.9,pH meter (general),clear,moderate,sub-dominant,dominant,none,sub-dominant,trace,sub-dominant,sub-dominant,21-40%,few,evenly distributed,vascular plants,undercut,fines,,wetland,initial,undercut,fines,,shrubs,shrub,fines,fines,,,riffle-pool,sinuous,Decoupled,unconfined,beaver dam,0.7,10,,,,,,Beaver influenced wetland area upstream for entire length. Some flowing sections for the bottom 75 m or so but no gravels or well defined deep pools present. Repair of the culvert would not likely result in fish use upstream due to lack of flowing water and potential freezing during winter       13:33:57
20,Tributary to McLeod Lake,198714_us,0,0,20,3.4,2.8,2.2,2.5,2.9,,,2.76,metre tape,1.5,2,2.1,1.8,2.3,,,1.94,metre tape,,,,,,,,,metre stick,0.4,0.3,0.3,,0.33333333333333326,metre stick,3,4,1,,0.026666666666666665,clinometer,,,12.7,recording meter,410,recording meter,7.9,pH meter (general),clear,moderate,trace,trace,none,sub-dominant,none,dominant,none,1-20%,none,,algae,,,,,,,,,,,gravels,cobbles,,,riffle-pool,straight,Partially Coupled,confined,,,,,,,,,Nice stream with abundant gravel throughout. No pool habitat. Flows through campground. 15:05:20
